--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
, count:16, delta_loop_time: 10, offset_y_cm from origin: 29.48, offset_x_cm for ac: -54.47
send offset to actuator, count:106, delta_loop_time: 10, offset_y_cm from origin: 83.43, offset_x_cm for ac: -84.39
send offset to actuator, count:106, delta_loop_time: 10, offset_y_cm from origin: 83.53, offset_x_cm for ac: -84.37
send offset to actuator, count:106, delta_loop_time: 10, offset_y_cm from origin: 83.63, offset_x_cm for ac: -84.36
send offset to actuator, count:106, delta_loop_time: 10, offset_y_cm from origin: 83.73, offset_x_cm for ac: -84.34
send offset to actuator, count:106, delta_loop_time: 10, offset_y_cm from origin: 83.83, offset_x_cm for ac: -84.33
send offset to actuator, count:106, delta_loop_time: 10, offset_y_cm from origin: 83.93, offset_x_cm for ac: -84.31
send offset to actuator, count:106, delta_loop_time: 10, offset_y_cm from origin: 84.03, offset_x_cm for ac: -84.29
send offset to actuator, count:106, delta_loop_time: 10, offset_y_cm from origin: 84.13, offset_x_cm for ac: -84.28
send offset to actuator, count:107, delta_loop_time: 11, offset_y_cm from origin: 83.74, offset_x_cm for ac: -84.26
send offset to actuator, count:107, delta_loop_time: 10, offset_y_cm from origin: 83.84, offset_x_cm for ac: -84.24
send offset to actuator, count:107, delta_loop_time: 10, offset_y_cm from origin: 83.94, offset_x_cm for ac: -84.22
send offset to actuator, count:107, delta_loop_time: 10, offset_y_cm from origin: 84.04, offset_x_cm for ac: -84.20
send offset to actuator, count:107, delta_loop_time: 10, offset_y_cm from origin: 84.14, offset_x_cm for ac: -84.18
send offset to actuator, count:107, delta_loop_time: 10, offset_y_cm from origin: 84.24, offset_x_cm for ac: -84.17
send offset to actuator, count:107, delta_loop_time: 10, offset_y_cm from origin: 84.34, offset_x_cm for ac: -84.15
send offset to actuator, count:107, delta_loop_time: 10, offset_y_cm from origin: 84.44, offset_x_cm for ac: -84.13
send offset to actuator, count:107, delta_loop_time: 10, offset_y_cm from origin: 84.54, offset_x_cm for ac: -84.11
send offset to actuator, count:107, delta_loop_time: 10, offset_y_cm from origin: 84.64, offset_x_cm for ac: -84.09
send offset to actuator, count:107, delta_loop_time: 10, offset_y_cm from origin: 84.74, offset_x_cm for ac: -84.07
send offset to actuator, count:107, delta_loop_time: 10, offset_y_cm from origin: 84.84, offset_x_cm for ac: -84.05
send offset to actuator, count:107, delta_loop_time: 10, offset_y_cm from origin: 84.94, offset_x_cm for ac: -84.03
send offset to actuator, count:107, delta_loop_time: 10, offset_y_cm from origin: 85.04, offset_x_cm for ac: -84.02
send offset to actuator, count:108, delta_loop_time: 11, offset_y_cm from origin: 83.58, offset_x_cm for ac: -84.00
send offset to actuator, count:108, delta_loop_time: 10, offset_y_cm from origin: 83.68, offset_x_cm for ac: -83.98
send offset to actuator, count:108, delta_loop_time: 10, offset_y_cm from origin: 83.78, offset_x_cm for ac: -83.95
send offset to actuator, count:108, delta_loop_time: 10, offset_y_cm from origin: 83.88, offset_x_cm for ac: -83.93
send offset to actuator, count:108, delta_loop_time: 10, offset_y_cm from origin: 83.98, offset_x_cm for ac: -83.91
send offset to actuator, count:108, delta_loop_time: 10, offset_y_cm from origin: 84.08, offset_x_cm for ac: -83.88
send offset to actuator, count:108, delta_loop_time: 10, offset_y_cm from origin: 84.18, offset_x_cm for ac: -83.86
send offset to actuator, count:108, delta_loop_time: 10, offset_y_cm from origin: 84.28, offset_x_cm for ac: -83.84
send offset to actuator, count:108, delta_loop_time: 10, offset_y_cm from origin: 84.38, offset_x_cm for ac: -83.81
send offset to actuator, count:108, delta_loop_time: 10, offset_y_cm from origin: 84.48, offset_x_cm for ac: -83.79
send offset to actuator, count:108, delta_loop_time: 10, offset_y_cm from origin: 84.58, offset_x_cm for ac: -83.77
send offset to actuator, count:108, delta_loop_time: 10, offset_y_cm from origin: 84.68, offset_x_cm for ac: -83.74
send offset to actuator, count:108, delta_loop_time: 10, offset_y_cm from origin: 84.78, offset_x_cm for ac: -83.72
send offset to actuator, count:109, delta_loop_time: 11, offset_y_cm from origin: 85.57, offset_x_cm for ac: -83.69
send offset to actuator, count:109, delta_loop_time: 10, offset_y_cm from origin: 85.67, offset_x_cm for ac: -83.67
send offset to actuator, count:109, delta_loop_time: 10, offset_y_cm from origin: 85.77, offset_x_cm for ac: -83.65
send offset to actuator, count:109, delta_loop_time: 10, offset_y_cm from origin: 85.87, offset_x_cm for ac: -83.63
send offset to actuator, count:109, delta_loop_time: 10, offset_y_cm from origin: 85.97, offset_x_cm for ac: -83.61
send offset to actuator, count:109, delta_loop_time: 10, offset_y_cm from origin: 86.07, offset_x_cm for ac: -83.59
send offset to actuator, count:109, delta_loop_time: 10, offset_y_cm from origin: 86.17, offset_x_cm for ac: -83.57
send offset to actuator, count:109, delta_loop_time: 10, offset_y_cm from origin: 86.27, offset_x_cm for ac: -83.54
send offset to actuator, count:109, delta_loop_time: 10, offset_y_cm from origin: 86.37, offset_x_cm for ac: -83.52
send offset to actuator, count:109, delta_loop_time: 10, offset_y_cm from origin: 86.47, offset_x_cm for ac: -83.50
send offset to actuator, count:109, delta_loop_time: 10, offset_y_cm from origin: 86.57, offset_x_cm for ac: -83.48
send offset to actuator, count:109, delta_loop_time: 10, offset_y_cm from origin: 86.67, offset_x_cm for ac: -83.46
send offset to actuator, count:109, delta_loop_time: 10, offset_y_cm from origin: 86.77, offset_x_cm for ac: -83.44
send offset to actuator, count:109, delta_loop_time: 10, offset_y_cm from origin: 86.87, offset_x_cm for ac: -83.42
send offset to actuator, count:109, delta_loop_time: 10, offset_y_cm from origin: 86.97, offset_x_cm for ac: -83.40
send offset to actuator, count:110, delta_loop_time: 11, offset_y_cm from origin: 88.66, offset_x_cm for ac: -83.36
send offset to actuator, count:110, delta_loop_time: 10, offset_y_cm from origin: 88.76, offset_x_cm for ac: -83.33
send offset to actuator, count:110, delta_loop_time: 10, offset_y_cm from origin: 88.86, offset_x_cm for ac: -83.31
send offset to actuator, count:110, delta_loop_time: 10, offset_y_cm from origin: 88.96, offset_x_cm for ac: -83.28
send offset to actuator, count:110, delta_loop_time: 10, offset_y_cm from origin: 89.06, offset_x_cm for ac: -83.26
send offset to actuator, count:110, delta_loop_time: 10, offset_y_cm from origin: 89.16, offset_x_cm for ac: -83.23
send offset to actuator, count:110, delta_loop_time: 10, offset_y_cm from origin: 89.26, offset_x_cm for ac: -83.20
send offset to actuator, count:110, delta_loop_time: 10, offset_y_cm from origin: 89.36, offset_x_cm for ac: -83.18
send offset to actuator, count:110, delta_loop_time: 10, offset_y_cm from origin: 89.46, offset_x_cm for ac: -83.15
send offset to actuator, count:110, delta_loop_time: 10, offset_y_cm from origin: 89.56, offset_x_cm for ac: -83.13
send offset to actuator, count:110, delta_loop_time: 10, offset_y_cm from origin: 89.66, offset_x_cm for ac: -83.10
send offset to actuator, count:110, delta_loop_time: 10, offset_y_cm from origin: 89.76, offset_x_cm for ac: -83.08
send offset to actuator, count:110, delta_loop_time: 10, offset_y_cm from origin: 89.86, offset_x_cm for ac: -83.05
send offset to actuator, count:110, delta_loop_time: 10, offset_y_cm from origin: 89.96, offset_x_cm for ac: -83.03
send offset to actuator, count:110, delta_loop_time: 10, offset_y_cm from origin: 90.06, offset_x_cm for ac: -83.00
send offset to actuator, count:110, delta_loop_time: 10, offset_y_cm from origin: 90.16, offset_x_cm for ac: -82.98
send offset to actuator, count:111, delta_loop_time: 11, offset_y_cm from origin: 97.76, offset_x_cm for ac: -82.89
send offset to actuator, count:111, delta_loop_time: 10, offset_y_cm from origin: 97.86, offset_x_cm for ac: -82.87
send offset to actuator, count:111, delta_loop_time: 10, offset_y_cm from origin: 97.96, offset_x_cm for ac: -82.84
send offset to actuator, count:111, delta_loop_time: 10, offset_y_cm from origin: 98.06, offset_x_cm for ac: -82.81
send offset to actuator, count:111, delta_loop_time: 10, offset_y_cm from origin: 98.16, offset_x_cm for ac: -82.78
send offset to actuator, count:111, delta_loop_time: 10, offset_y_cm from origin: 98.26, offset_x_cm for ac: -82.75
send offset to actuator, count:111, delta_loop_time: 10, offset_y_cm from origin: 98.36, offset_x_cm for ac: -82.73
send offset to actuator, count:111, delta_loop_time: 10, offset_y_cm from origin: 98.46, offset_x_cm for ac: -82.70
send offset to actuator, count:111, delta_loop_time: 10, offset_y_cm from origin: 98.56, offset_x_cm for ac: -82.67
send offset to actuator, count:111, delta_loop_time: 10, offset_y_cm from origin: 98.66, offset_x_cm for ac: -82.64
send offset to actuator, count:111, delta_loop_time: 10, offset_y_cm from origin: 98.76, offset_x_cm for ac: -82.62
send offset to actuator, count:111, delta_loop_time: 10, offset_y_cm from origin: 98.86, offset_x_cm for ac: -82.59
send offset to actuator, count:111, delta_loop_time: 10, offset_y_cm from origin: 98.96, offset_x_cm for ac: -82.56
send offset to actuator, count:111, delta_loop_time: 10, offset_y_cm from origin: 99.06, offset_x_cm for ac: -82.53
send offset to actuator, count:111, delta_loop_time: 10, offset_y_cm from origin: 99.16, offset_x_cm for ac: -82.51
send offset to actuator, count:112, delta_loop_time: 11, offset_y_cm from origin: 93.78, offset_x_cm for ac: -82.51
send offset to actuator, count:112, delta_loop_time: 10, offset_y_cm from origin: 93.88, offset_x_cm for ac: -82.49
send offset to actuator, count:112, delta_loop_time: 10, offset_y_cm from origin: 93.98, offset_x_cm for ac: -82.46
send offset to actuator, count:112, delta_loop_time: 10, offset_y_cm from origin: 94.08, offset_x_cm for ac: -82.43
send offset to actuator, count:112, delta_loop_time: 10, offset_y_cm from origin: 94.18, offset_x_cm for ac: -82.41
send offset to actuator, count:112, delta_loop_time: 10, offset_y_cm from origin: 94.28, offset_x_cm for ac: -82.38
send offset to actuator, count:112, delta_loop_time: 10, offset_y_cm from origin: 94.38, offset_x_cm for ac: -82.35
send offset to actuator, count:112, delta_loop_time: 10, offset_y_cm from origin: 94.48, offset_x_cm for ac: -82.32
send offset to actuator, count:112, delta_loop_time: 10, offset_y_cm from origin: 94.58, offset_x_cm for ac: -82.30
send offset to actuator, count:112, delta_loop_time: 10, offset_y_cm from origin: 94.68, offset_x_cm for ac: -82.27
send offset to actuator, count:112, delta_loop_time: 10, offset_y_cm from origin: 94.78, offset_x_cm for ac: -82.25
send offset to actuator, count:112, delta_loop_time: 10, offset_y_cm from origin: 94.88, offset_x_cm for ac: -82.22
send offset to actuator, count:112, delta_loop_time: 10, offset_y_cm from origin: 94.98, offset_x_cm for ac: -82.19
send offset to actuator, count:112, delta_loop_time: 10, offset_y_cm from origin: 95.08, offset_x_cm for ac: -82.17
send offset to actuator, count:113, delta_loop_time: 11, offset_y_cm from origin: 89.21, offset_x_cm for ac: -82.18
send offset to actuator, count:113, delta_loop_time: 10, offset_y_cm from origin: 89.31, offset_x_cm for ac: -82.16
send offset to actuator, count:113, delta_loop_time: 10, offset_y_cm from origin: 89.41, offset_x_cm for ac: -82.13
send offset to actuator, count:113, delta_loop_time: 10, offset_y_cm from origin: 89.51, offset_x_cm for ac: -82.11
send offset to actuator, count:113, delta_loop_time: 10, offset_y_cm from origin: 89.61, offset_x_cm for ac: -82.09
send offset to actuator, count:113, delta_loop_time: 10, offset_y_cm from origin: 89.71, offset_x_cm for ac: -82.06
send offset to actuator, count:113, delta_loop_time: 10, offset_y_cm from origin: 89.81, offset_x_cm for ac: -82.04
send offset to actuator, count:113, delta_loop_time: 10, offset_y_cm from origin: 89.91, offset_x_cm for ac: -82.02
send offset to actuator, count:113, delta_loop_time: 10, offset_y_cm from origin: 90.01, offset_x_cm for ac: -81.99
send offset to actuator, count:113, delta_loop_time: 10, offset_y_cm from origin: 90.11, offset_x_cm for ac: -81.97
send offset to actuator, count:113, delta_loop_time: 10, offset_y_cm from origin: 90.21, offset_x_cm for ac: -81.95
send offset to actuator, count:113, delta_loop_time: 10, offset_y_cm from origin: 90.31, offset_x_cm for ac: -81.93
send offset to actuator, count:113, delta_loop_time: 10, offset_y_cm from origin: 90.41, offset_x_cm for ac: -81.90
send offset to actuator, count:113, delta_loop_time: 10, offset_y_cm from origin: 90.51, offset_x_cm for ac: -81.88
send offset to actuator, count:114, delta_loop_time: 11, offset_y_cm from origin: 86.80, offset_x_cm for ac: -81.88
send offset to actuator, count:114, delta_loop_time: 10, offset_y_cm from origin: 86.90, offset_x_cm for ac: -81.87
send offset to actuator, count:114, delta_loop_time: 10, offset_y_cm from origin: 87.00, offset_x_cm for ac: -81.85
send offset to actuator, count:114, delta_loop_time: 10, offset_y_cm from origin: 87.10, offset_x_cm for ac: -81.83
send offset to actuator, count:114, delta_loop_time: 10, offset_y_cm from origin: 87.20, offset_x_cm for ac: -81.81
send offset to actuator, count:114, delta_loop_time: 10, offset_y_cm from origin: 87.30, offset_x_cm for ac: -81.79
send offset to actuator, count:114, delta_loop_time: 10, offset_y_cm from origin: 87.40, offset_x_cm for ac: -81.77
send offset to actuator, count:114, delta_loop_time: 10, offset_y_cm from origin: 87.50, offset_x_cm for ac: -81.76
send offset to actuator, count:114, delta_loop_time: 10, offset_y_cm from origin: 87.60, offset_x_cm for ac: -81.74
send offset to actuator, count:114, delta_loop_time: 10, offset_y_cm from origin: 87.70, offset_x_cm for ac: -81.72
send offset to actuator, count:114, delta_loop_time: 10, offset_y_cm from origin: 87.80, offset_x_cm for ac: -81.70
send offset to actuator, count:114, delta_loop_time: 10, offset_y_cm from origin: 87.90, offset_x_cm for ac: -81.68
send offset to actuator, count:114, delta_loop_time: 10, offset_y_cm from origin: 88.00, offset_x_cm for ac: -81.66
send offset to actuator, count:115, delta_loop_time: 11, offset_y_cm from origin: 86.57, offset_x_cm for ac: -81.65
send offset to actuator, count:115, delta_loop_time: 10, offset_y_cm from origin: 86.67, offset_x_cm for ac: -81.63
send offset to actuator, count:115, delta_loop_time: 10, offset_y_cm from origin: 86.77, offset_x_cm for ac: -81.61
send offset to actuator, count:115, delta_loop_time: 10, offset_y_cm from origin: 86.87, offset_x_cm for ac: -81.60
send offset to actuator, count:115, delta_loop_time: 10, offset_y_cm from origin: 86.97, offset_x_cm for ac: -81.58
send offset to actuator, count:115, delta_loop_time: 10, offset_y_cm from origin: 87.07, offset_x_cm for ac: -81.56
send offset to actuator, count:115, delta_loop_time: 10, offset_y_cm from origin: 87.17, offset_x_cm for ac: -81.54
send offset to actuator, count:115, delta_loop_time: 10, offset_y_cm from origin: 87.27, offset_x_cm for ac: -81.52
send offset to actuator, count:115, delta_loop_time: 10, offset_y_cm from origin: 87.37, offset_x_cm for ac: -81.50
send offset to actuator, count:115, delta_loop_time: 10, offset_y_cm from origin: 87.47, offset_x_cm for ac: -81.48
send offset to actuator, count:115, delta_loop_time: 10, offset_y_cm from origin: 87.57, offset_x_cm for ac: -81.46
send offset to actuator, count:115, delta_loop_time: 10, offset_y_cm from origin: 87.67, offset_x_cm for ac: -81.45
send offset to actuator, count:115, delta_loop_time: 10, offset_y_cm from origin: 87.77, offset_x_cm for ac: -81.43
send offset to actuator, count:115, delta_loop_time: 10, offset_y_cm from origin: 87.87, offset_x_cm for ac: -81.41
send offset to actuator, count:115, delta_loop_time: 10, offset_y_cm from origin: 87.97, offset_x_cm for ac: -81.39
send offset to actuator, count:116, delta_loop_time: 11, offset_y_cm from origin: 91.35, offset_x_cm for ac: -81.35
send offset to actuator, count:116, delta_loop_time: 10, offset_y_cm from origin: 91.45, offset_x_cm for ac: -81.33
send offset to actuator, count:116, delta_loop_time: 10, offset_y_cm from origin: 91.55, offset_x_cm for ac: -81.32
send offset to actuator, count:116, delta_loop_time: 10, offset_y_cm from origin: 91.65, offset_x_cm for ac: -81.30
send offset to actuator, count:116, delta_loop_time: 10, offset_y_cm from origin: 91.75, offset_x_cm for ac: -81.28
send offset to actuator, count:116, delta_loop_time: 10, offset_y_cm from origin: 91.85, offset_x_cm for ac: -81.27
send offset to actuator, count:116, delta_loop_time: 10, offset_y_cm from origin: 91.95, offset_x_cm for ac: -81.25
send offset to actuator, count:116, delta_loop_time: 10, offset_y_cm from origin: 92.05, offset_x_cm for ac: -81.23
send offset to actuator, count:116, delta_loop_time: 10, offset_y_cm from origin: 92.15, offset_x_cm for ac: -81.22
send offset to actuator, count:116, delta_loop_time: 10, offset_y_cm from origin: 92.25, offset_x_cm for ac: -81.20
send offset to actuator, count:116, delta_loop_time: 10, offset_y_cm from origin: 92.35, offset_x_cm for ac: -81.18
send offset to actuator, count:116, delta_loop_time: 10, offset_y_cm from origin: 92.45, offset_x_cm for ac: -81.17
send offset to actuator, count:116, delta_loop_time: 10, offset_y_cm from origin: 92.55, offset_x_cm for ac: -81.15
send offset to actuator, count:116, delta_loop_time: 10, offset_y_cm from origin: 92.65, offset_x_cm for ac: -81.13
send offset to actuator, count:117, delta_loop_time: 11, offset_y_cm from origin: 90.56, offset_x_cm for ac: -81.13
send offset to actuator, count:117, delta_loop_time: 10, offset_y_cm from origin: 90.66, offset_x_cm for ac: -81.11
send offset to actuator, count:117, delta_loop_time: 10, offset_y_cm from origin: 90.76, offset_x_cm for ac: -81.09
send offset to actuator, count:117, delta_loop_time: 10, offset_y_cm from origin: 90.86, offset_x_cm for ac: -81.08
send offset to actuator, count:117, delta_loop_time: 10, offset_y_cm from origin: 90.96, offset_x_cm for ac: -81.06
send offset to actuator, count:117, delta_loop_time: 10, offset_y_cm from origin: 91.06, offset_x_cm for ac: -81.04
send offset to actuator, count:117, delta_loop_time: 10, offset_y_cm from origin: 91.16, offset_x_cm for ac: -81.03
send offset to actuator, count:117, delta_loop_time: 10, offset_y_cm from origin: 91.26, offset_x_cm for ac: -81.01
send offset to actuator, count:117, delta_loop_time: 10, offset_y_cm from origin: 91.36, offset_x_cm for ac: -80.99
send offset to actuator, count:117, delta_loop_time: 10, offset_y_cm from origin: 91.46, offset_x_cm for ac: -80.98
send offset to actuator, count:117, delta_loop_time: 10, offset_y_cm from origin: 91.56, offset_x_cm for ac: -80.96
send offset to actuator, count:117, delta_loop_time: 10, offset_y_cm from origin: 91.66, offset_x_cm for ac: -80.95
send offset to actuator, count:117, delta_loop_time: 10, offset_y_cm from origin: 91.76, offset_x_cm for ac: -80.93
send offset to actuator, count:117, delta_loop_time: 10, offset_y_cm from origin: 91.86, offset_x_cm for ac: -80.91
send offset to actuator, count:118, delta_loop_time: 11, offset_y_cm from origin: 87.52, offset_x_cm for ac: -80.92
send offset to actuator, count:118, delta_loop_time: 10, offset_y_cm from origin: 87.62, offset_x_cm for ac: -80.90
send offset to actuator, count:118, delta_loop_time: 10, offset_y_cm from origin: 87.72, offset_x_cm for ac: -80.89
send offset to actuator, count:118, delta_loop_time: 10, offset_y_cm from origin: 87.82, offset_x_cm for ac: -80.87
send offset to actuator, count:118, delta_loop_time: 10, offset_y_cm from origin: 87.92, offset_x_cm for ac: -80.86
send offset to actuator, count:118, delta_loop_time: 10, offset_y_cm from origin: 88.02, offset_x_cm for ac: -80.84
send offset to actuator, count:118, delta_loop_time: 10, offset_y_cm from origin: 88.12, offset_x_cm for ac: -80.83
send offset to actuator, count:118, delta_loop_time: 10, offset_y_cm from origin: 88.22, offset_x_cm for ac: -80.81
send offset to actuator, count:118, delta_loop_time: 10, offset_y_cm from origin: 88.32, offset_x_cm for ac: -80.80
send offset to actuator, count:118, delta_loop_time: 10, offset_y_cm from origin: 88.42, offset_x_cm for ac: -80.78
send offset to actuator, count:118, delta_loop_time: 10, offset_y_cm from origin: 88.52, offset_x_cm for ac: -80.77
send offset to actuator, count:118, delta_loop_time: 10, offset_y_cm from origin: 88.62, offset_x_cm for ac: -80.75
send offset to actuator, count:118, delta_loop_time: 10, offset_y_cm from origin: 88.72, offset_x_cm for ac: -80.74
send offset to actuator, count:118, delta_loop_time: 10, offset_y_cm from origin: 88.82, offset_x_cm for ac: -80.72
send offset to actuator, count:119, delta_loop_time: 11, offset_y_cm from origin: 89.51, offset_x_cm for ac: -80.71
send offset to actuator, count:119, delta_loop_time: 10, offset_y_cm from origin: 89.61, offset_x_cm for ac: -80.70
send offset to actuator, count:119, delta_loop_time: 10, offset_y_cm from origin: 89.71, offset_x_cm for ac: -80.69
send offset to actuator, count:119, delta_loop_time: 10, offset_y_cm from origin: 89.81, offset_x_cm for ac: -80.68
send offset to actuator, count:119, delta_loop_time: 10, offset_y_cm from origin: 89.91, offset_x_cm for ac: -80.67
send offset to actuator, count:119, delta_loop_time: 10, offset_y_cm from origin: 90.01, offset_x_cm for ac: -80.67
send offset to actuator, count:119, delta_loop_time: 10, offset_y_cm from origin: 90.11, offset_x_cm for ac: -80.66
send offset to actuator, count:119, delta_loop_time: 10, offset_y_cm from origin: 90.21, offset_x_cm for ac: -80.65
send offset to actuator, count:119, delta_loop_time: 10, offset_y_cm from origin: 90.31, offset_x_cm for ac: -80.64
send offset to actuator, count:119, delta_loop_time: 10, offset_y_cm from origin: 90.41, offset_x_cm for ac: -80.63
send offset to actuator, count:119, delta_loop_time: 10, offset_y_cm from origin: 90.51, offset_x_cm for ac: -80.62
send offset to actuator, count:119, delta_loop_time: 10, offset_y_cm from origin: 90.61, offset_x_cm for ac: -80.62
send offset to actuator, count:119, delta_loop_time: 10, offset_y_cm from origin: 90.71, offset_x_cm for ac: -80.61
send offset to actuator, count:119, delta_loop_time: 10, offset_y_cm from origin: 90.81, offset_x_cm for ac: -80.60
send offset to actuator, count:119, delta_loop_time: 10, offset_y_cm from origin: 90.91, offset_x_cm for ac: -80.59
send offset to actuator, count:120, delta_loop_time: 11, offset_y_cm from origin: 96.01, offset_x_cm for ac: -80.55
send offset to actuator, count:120, delta_loop_time: 10, offset_y_cm from origin: 96.11, offset_x_cm for ac: -80.54
send offset to actuator, count:120, delta_loop_time: 10, offset_y_cm from origin: 96.21, offset_x_cm for ac: -80.52
send offset to actuator, count:120, delta_loop_time: 10, offset_y_cm from origin: 96.31, offset_x_cm for ac: -80.50
send offset to actuator, count:120, delta_loop_time: 10, offset_y_cm from origin: 96.41, offset_x_cm for ac: -80.49
send offset to actuator, count:120, delta_loop_time: 10, offset_y_cm from origin: 96.51, offset_x_cm for ac: -80.47
send offset to actuator, count:120, delta_loop_time: 10, offset_y_cm from origin: 96.61, offset_x_cm for ac: -80.46
send offset to actuator, count:120, delta_loop_time: 10, offset_y_cm from origin: 96.71, offset_x_cm for ac: -80.44
send offset to actuator, count:120, delta_loop_time: 10, offset_y_cm from origin: 96.81, offset_x_cm for ac: -80.42
send offset to actuator, count:120, delta_loop_time: 10, offset_y_cm from origin: 96.91, offset_x_cm for ac: -80.41
send offset to actuator, count:120, delta_loop_time: 10, offset_y_cm from origin: 97.01, offset_x_cm for ac: -80.39
send offset to actuator, count:120, delta_loop_time: 10, offset_y_cm from origin: 97.11, offset_x_cm for ac: -80.38
send offset to actuator, count:120, delta_loop_time: 10, offset_y_cm from origin: 97.21, offset_x_cm for ac: -80.36
send offset to actuator, count:120, delta_loop_time: 10, offset_y_cm from origin: 97.31, offset_x_cm for ac: -80.35
send offset to actuator, count:120, delta_loop_time: 10, offset_y_cm from origin: 97.41, offset_x_cm for ac: -80.33
send offset to actuator, count:120, delta_loop_time: 10, offset_y_cm from origin: 97.51, offset_x_cm for ac: -80.32
send offset to actuator, count:120, delta_loop_time: 10, offset_y_cm from origin: 97.61, offset_x_cm for ac: -80.30
send offset to actuator, count:121, delta_loop_time: 11, offset_y_cm from origin: 104.81, offset_x_cm for ac: -80.25
send offset to actuator, count:121, delta_loop_time: 10, offset_y_cm from origin: 104.91, offset_x_cm for ac: -80.23
send offset to actuator, count:121, delta_loop_time: 10, offset_y_cm from origin: 105.01, offset_x_cm for ac: -80.21
send offset to actuator, count:121, delta_loop_time: 10, offset_y_cm from origin: 105.11, offset_x_cm for ac: -80.19
send offset to actuator, count:121, delta_loop_time: 10, offset_y_cm from origin: 105.21, offset_x_cm for ac: -80.17
send offset to actuator, count:121, delta_loop_time: 10, offset_y_cm from origin: 105.31, offset_x_cm for ac: -80.15
send offset to actuator, count:121, delta_loop_time: 10, offset_y_cm from origin: 105.41, offset_x_cm for ac: -80.14
send offset to actuator, count:121, delta_loop_time: 10, offset_y_cm from origin: 105.51, offset_x_cm for ac: -80.12
send offset to actuator, count:121, delta_loop_time: 10, offset_y_cm from origin: 105.61, offset_x_cm for ac: -80.10
send offset to actuator, count:121, delta_loop_time: 10, offset_y_cm from origin: 105.71, offset_x_cm for ac: -80.08
send offset to actuator, count:121, delta_loop_time: 10, offset_y_cm from origin: 105.81, offset_x_cm for ac: -80.06
send offset to actuator, count:121, delta_loop_time: 10, offset_y_cm from origin: 105.91, offset_x_cm for ac: -80.04
send offset to actuator, count:121, delta_loop_time: 10, offset_y_cm from origin: 106.01, offset_x_cm for ac: -80.02
send offset to actuator, count:121, delta_loop_time: 10, offset_y_cm from origin: 106.11, offset_x_cm for ac: -80.00
send offset to actuator, count:122, delta_loop_time: 11, offset_y_cm from origin: 94.36, offset_x_cm for ac: -80.03
send offset to actuator, count:122, delta_loop_time: 10, offset_y_cm from origin: 94.46, offset_x_cm for ac: -80.01
send offset to actuator, count:122, delta_loop_time: 10, offset_y_cm from origin: 94.56, offset_x_cm for ac: -80.00
send offset to actuator, count:122, delta_loop_time: 10, offset_y_cm from origin: 94.66, offset_x_cm for ac: -79.99
send offset to actuator, count:122, delta_loop_time: 10, offset_y_cm from origin: 94.76, offset_x_cm for ac: -79.98
send offset to actuator, count:122, delta_loop_time: 10, offset_y_cm from origin: 94.86, offset_x_cm for ac: -79.97
send offset to actuator, count:122, delta_loop_time: 10, offset_y_cm from origin: 94.96, offset_x_cm for ac: -79.96
send offset to actuator, count:122, delta_loop_time: 10, offset_y_cm from origin: 95.06, offset_x_cm for ac: -79.95
send offset to actuator, count:122, delta_loop_time: 10, offset_y_cm from origin: 95.16, offset_x_cm for ac: -79.94
send offset to actuator, count:122, delta_loop_time: 10, offset_y_cm from origin: 95.26, offset_x_cm for ac: -79.93
send offset to actuator, count:122, delta_loop_time: 10, offset_y_cm from origin: 95.36, offset_x_cm for ac: -79.92
send offset to actuator, count:122, delta_loop_time: 10, offset_y_cm from origin: 95.46, offset_x_cm for ac: -79.90
send offset to actuator, count:122, delta_loop_time: 10, offset_y_cm from origin: 95.56, offset_x_cm for ac: -79.89
send offset to actuator, count:122, delta_loop_time: 10, offset_y_cm from origin: 95.66, offset_x_cm for ac: -79.88
send offset to actuator, count:122, delta_loop_time: 10, offset_y_cm from origin: 95.76, offset_x_cm for ac: -79.87
send offset to actuator, count:123, delta_loop_time: 11, offset_y_cm from origin: 95.78, offset_x_cm for ac: -79.86
send offset to actuator, count:123, delta_loop_time: 10, offset_y_cm from origin: 95.88, offset_x_cm for ac: -79.85
send offset to actuator, count:123, delta_loop_time: 10, offset_y_cm from origin: 95.98, offset_x_cm for ac: -79.84
send offset to actuator, count:123, delta_loop_time: 10, offset_y_cm from origin: 96.08, offset_x_cm for ac: -79.83
send offset to actuator, count:123, delta_loop_time: 10, offset_y_cm from origin: 96.18, offset_x_cm for ac: -79.82
send offset to actuator, count:123, delta_loop_time: 10, offset_y_cm from origin: 96.28, offset_x_cm for ac: -79.81
send offset to actuator, count:123, delta_loop_time: 10, offset_y_cm from origin: 96.38, offset_x_cm for ac: -79.80
send offset to actuator, count:123, delta_loop_time: 10, offset_y_cm from origin: 96.48, offset_x_cm for ac: -79.79
send offset to actuator, count:123, delta_loop_time: 10, offset_y_cm from origin: 96.58, offset_x_cm for ac: -79.78
send offset to actuator, count:123, delta_loop_time: 10, offset_y_cm from origin: 96.68, offset_x_cm for ac: -79.77
send offset to actuator, count:123, delta_loop_time: 10, offset_y_cm from origin: 96.78, offset_x_cm for ac: -79.76
send offset to actuator, count:123, delta_loop_time: 10, offset_y_cm from origin: 96.88, offset_x_cm for ac: -79.75
